clubQid,club,team,season,competition,stage,kind,opponentTier,category,placeType,price,currency,priceBasis,checked,source,note
Q15789,FC Bayern München,men,2025-26,bundesliga,regular,face-value,,5,standing,15,EUR,incl-vat-excl-fees,2026-09-19,https://fcbayern.com/de/tickets/info/preise-und-ermaessigungen,"CONFIRMED FOR 2025|26, AND THE SEASON CELL NOW SAYS SO. These rows used to read 2026-27 while the only page that matches them is the club's 2025|26 price page, read on 2026-09-19 from an Internet Archive copy captured 2025-09-02, not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried. ""Preise Bundesliga Heimspiele"" gives Kategorie 1 80 EUR, Kategorie 2 70 EUR, Kategorie 3 50 EUR, Kategorie 4 40 EUR and Kategorie 5 15 EUR for Vollzahler, with a member discount of 2,50 EUR. Every figure in these rows matches it exactly. THE SEASON WAS THE WRONG CELL TO LEAVE ALONE: fussball-tickets-kaufen.de, read directly on 2026-09-19, says the club has not published 26/27 prices at all, so a 2026-27 label was claiming a published figure that does not exist. Relabelling to 2025-26 is not a downgrade of the figures - they are confirmed, and more firmly than before - it moves them to the season they were actually confirmed for. WHAT THIS FILE THEREFORE NO LONGER CLAIMS: it holds no 26/27 Bundesliga face value at all. That is the honest state of it. If 25/26 prices carry forward, as they may well, these are the figures they carry forward - but nobody has read that and the file does not say it. PRICEBASIS CORRECTED THE SAME DAY. These rows used to say excl-vat-fees, which is wrong twice over. The club quotes these as consumer prices and a German consumer price includes VAT by law (Preisangabenverordnung), so VAT is IN; the Vorverkaufsgebuehr of 1 EUR and Systemgebuehren of 2 to 8 EUR are added on top at checkout, so fees are OUT. Neither excl-vat-fees nor incl-vat-fees can say that, which is why incl-vat-excl-fees was added to the closed vocabulary - see CLAUDE.md. It matters for the resale row, which reasons from these figures."
Q15789,FC Bayern München,men,2025-26,bundesliga,regular,face-value,,4,seat,40,EUR,incl-vat-excl-fees,2026-09-19,https://fcbayern.com/de/tickets/info/preise-und-ermaessigungen,"CONFIRMED FOR 2025|26, AND THE SEASON CELL NOW SAYS SO. These rows used to read 2026-27 while the only page that matches them is the club's 2025|26 price page, read on 2026-09-19 from an Internet Archive copy captured 2025-09-02, not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried. ""Preise Bundesliga Heimspiele"" gives Kategorie 1 80 EUR, Kategorie 2 70 EUR, Kategorie 3 50 EUR, Kategorie 4 40 EUR and Kategorie 5 15 EUR for Vollzahler, with a member discount of 2,50 EUR. Every figure in these rows matches it exactly. THE SEASON WAS THE WRONG CELL TO LEAVE ALONE: fussball-tickets-kaufen.de, read directly on 2026-09-19, says the club has not published 26/27 prices at all, so a 2026-27 label was claiming a published figure that does not exist. Relabelling to 2025-26 is not a downgrade of the figures - they are confirmed, and more firmly than before - it moves them to the season they were actually confirmed for. WHAT THIS FILE THEREFORE NO LONGER CLAIMS: it holds no 26/27 Bundesliga face value at all. That is the honest state of it. If 25/26 prices carry forward, as they may well, these are the figures they carry forward - but nobody has read that and the file does not say it. PRICEBASIS CORRECTED THE SAME DAY. These rows used to say excl-vat-fees, which is wrong twice over. The club quotes these as consumer prices and a German consumer price includes VAT by law (Preisangabenverordnung), so VAT is IN; the Vorverkaufsgebuehr of 1 EUR and Systemgebuehren of 2 to 8 EUR are added on top at checkout, so fees are OUT. Neither excl-vat-fees nor incl-vat-fees can say that, which is why incl-vat-excl-fees was added to the closed vocabulary - see CLAUDE.md. It matters for the resale row, which reasons from these figures."
Q15789,FC Bayern München,men,2025-26,bundesliga,regular,face-value,,3,seat,50,EUR,incl-vat-excl-fees,2026-09-19,https://fcbayern.com/de/tickets/info/preise-und-ermaessigungen,"CONFIRMED FOR 2025|26, AND THE SEASON CELL NOW SAYS SO. These rows used to read 2026-27 while the only page that matches them is the club's 2025|26 price page, read on 2026-09-19 from an Internet Archive copy captured 2025-09-02, not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried. ""Preise Bundesliga Heimspiele"" gives Kategorie 1 80 EUR, Kategorie 2 70 EUR, Kategorie 3 50 EUR, Kategorie 4 40 EUR and Kategorie 5 15 EUR for Vollzahler, with a member discount of 2,50 EUR. Every figure in these rows matches it exactly. THE SEASON WAS THE WRONG CELL TO LEAVE ALONE: fussball-tickets-kaufen.de, read directly on 2026-09-19, says the club has not published 26/27 prices at all, so a 2026-27 label was claiming a published figure that does not exist. Relabelling to 2025-26 is not a downgrade of the figures - they are confirmed, and more firmly than before - it moves them to the season they were actually confirmed for. WHAT THIS FILE THEREFORE NO LONGER CLAIMS: it holds no 26/27 Bundesliga face value at all. That is the honest state of it. If 25/26 prices carry forward, as they may well, these are the figures they carry forward - but nobody has read that and the file does not say it. PRICEBASIS CORRECTED THE SAME DAY. These rows used to say excl-vat-fees, which is wrong twice over. The club quotes these as consumer prices and a German consumer price includes VAT by law (Preisangabenverordnung), so VAT is IN; the Vorverkaufsgebuehr of 1 EUR and Systemgebuehren of 2 to 8 EUR are added on top at checkout, so fees are OUT. Neither excl-vat-fees nor incl-vat-fees can say that, which is why incl-vat-excl-fees was added to the closed vocabulary - see CLAUDE.md. It matters for the resale row, which reasons from these figures."
Q15789,FC Bayern München,men,2025-26,bundesliga,regular,face-value,,2,seat,70,EUR,incl-vat-excl-fees,2026-09-19,https://fcbayern.com/de/tickets/info/preise-und-ermaessigungen,"CONFIRMED FOR 2025|26, AND THE SEASON CELL NOW SAYS SO. These rows used to read 2026-27 while the only page that matches them is the club's 2025|26 price page, read on 2026-09-19 from an Internet Archive copy captured 2025-09-02, not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried. ""Preise Bundesliga Heimspiele"" gives Kategorie 1 80 EUR, Kategorie 2 70 EUR, Kategorie 3 50 EUR, Kategorie 4 40 EUR and Kategorie 5 15 EUR for Vollzahler, with a member discount of 2,50 EUR. Every figure in these rows matches it exactly. THE SEASON WAS THE WRONG CELL TO LEAVE ALONE: fussball-tickets-kaufen.de, read directly on 2026-09-19, says the club has not published 26/27 prices at all, so a 2026-27 label was claiming a published figure that does not exist. Relabelling to 2025-26 is not a downgrade of the figures - they are confirmed, and more firmly than before - it moves them to the season they were actually confirmed for. WHAT THIS FILE THEREFORE NO LONGER CLAIMS: it holds no 26/27 Bundesliga face value at all. That is the honest state of it. If 25/26 prices carry forward, as they may well, these are the figures they carry forward - but nobody has read that and the file does not say it. PRICEBASIS CORRECTED THE SAME DAY. These rows used to say excl-vat-fees, which is wrong twice over. The club quotes these as consumer prices and a German consumer price includes VAT by law (Preisangabenverordnung), so VAT is IN; the Vorverkaufsgebuehr of 1 EUR and Systemgebuehren of 2 to 8 EUR are added on top at checkout, so fees are OUT. Neither excl-vat-fees nor incl-vat-fees can say that, which is why incl-vat-excl-fees was added to the closed vocabulary - see CLAUDE.md. It matters for the resale row, which reasons from these figures."
Q15789,FC Bayern München,men,2025-26,bundesliga,regular,face-value,,1,seat,80,EUR,incl-vat-excl-fees,2026-09-19,https://fcbayern.com/de/tickets/info/preise-und-ermaessigungen,"CONFIRMED FOR 2025|26, AND THE SEASON CELL NOW SAYS SO. These rows used to read 2026-27 while the only page that matches them is the club's 2025|26 price page, read on 2026-09-19 from an Internet Archive copy captured 2025-09-02, not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried. ""Preise Bundesliga Heimspiele"" gives Kategorie 1 80 EUR, Kategorie 2 70 EUR, Kategorie 3 50 EUR, Kategorie 4 40 EUR and Kategorie 5 15 EUR for Vollzahler, with a member discount of 2,50 EUR. Every figure in these rows matches it exactly. THE SEASON WAS THE WRONG CELL TO LEAVE ALONE: fussball-tickets-kaufen.de, read directly on 2026-09-19, says the club has not published 26/27 prices at all, so a 2026-27 label was claiming a published figure that does not exist. Relabelling to 2025-26 is not a downgrade of the figures - they are confirmed, and more firmly than before - it moves them to the season they were actually confirmed for. WHAT THIS FILE THEREFORE NO LONGER CLAIMS: it holds no 26/27 Bundesliga face value at all. That is the honest state of it. If 25/26 prices carry forward, as they may well, these are the figures they carry forward - but nobody has read that and the file does not say it. PRICEBASIS CORRECTED THE SAME DAY. These rows used to say excl-vat-fees, which is wrong twice over. The club quotes these as consumer prices and a German consumer price includes VAT by law (Preisangabenverordnung), so VAT is IN; the Vorverkaufsgebuehr of 1 EUR and Systemgebuehren of 2 to 8 EUR are added on top at checkout, so fees are OUT. Neither excl-vat-fees nor incl-vat-fees can say that, which is why incl-vat-excl-fees was added to the closed vocabulary - see CLAUDE.md. It matters for the resale row, which reasons from these figures."
Q15789,FC Bayern München,men,2026-27,dfb-pokal,early-rounds,face-value,,5,standing,15,EUR,unknown,2026-09-19,https://fcbayern.com/de/tickets/info/preise-und-ermaessigungen,"HAND-SUPPLIED BY ALEXANDRU AND STILL UNCONFIRMED. This is the one group left in the file whose only source is him, and the season says 2026-27 because that is the cycle he was describing, not because anything published was read for it. His claim is that the early rounds carry the same face values as the Bundesliga, and his football-rules.json adds that there is no member discount in the Pokal. WHAT THE 2026-09-19 ARCHIVE READ COULD AND COULD NOT DO: the club's price page, read on 2026-09-19 from an Internet Archive copy captured 2025-09-02, not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried, carries Bundesliga and Champions League day-ticket tables and NO DFB-Pokal table at all, so there was nothing to check these against. The archived Jahreskarten page does give a DFB-Pokal Viertelfinale season-ticket add-on of 80/70/50/40/15, which is the Bundesliga ladder - suggestive of the same pattern, a different product, and it settles nothing here. PRICEBASIS IS NOW unknown, WHICH IS A CORRECTION RATHER THAN A LOSS. These rows used to say excl-vat-fees, copied across from the Bundesliga rows, and that value has since been shown wrong for the rows that could be checked. Nothing records where these figures came from, so nothing says whether they include VAT or fees, and unknown is the only value that is true. Give them incl-vat-excl-fees when a Pokal price page is actually read, and not before."
Q15789,FC Bayern München,men,2026-27,dfb-pokal,early-rounds,face-value,,4,seat,40,EUR,unknown,2026-09-19,https://fcbayern.com/de/tickets/info/preise-und-ermaessigungen,"HAND-SUPPLIED BY ALEXANDRU AND STILL UNCONFIRMED. This is the one group left in the file whose only source is him, and the season says 2026-27 because that is the cycle he was describing, not because anything published was read for it. His claim is that the early rounds carry the same face values as the Bundesliga, and his football-rules.json adds that there is no member discount in the Pokal. WHAT THE 2026-09-19 ARCHIVE READ COULD AND COULD NOT DO: the club's price page, read on 2026-09-19 from an Internet Archive copy captured 2025-09-02, not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried, carries Bundesliga and Champions League day-ticket tables and NO DFB-Pokal table at all, so there was nothing to check these against. The archived Jahreskarten page does give a DFB-Pokal Viertelfinale season-ticket add-on of 80/70/50/40/15, which is the Bundesliga ladder - suggestive of the same pattern, a different product, and it settles nothing here. PRICEBASIS IS NOW unknown, WHICH IS A CORRECTION RATHER THAN A LOSS. These rows used to say excl-vat-fees, copied across from the Bundesliga rows, and that value has since been shown wrong for the rows that could be checked. Nothing records where these figures came from, so nothing says whether they include VAT or fees, and unknown is the only value that is true. Give them incl-vat-excl-fees when a Pokal price page is actually read, and not before."
Q15789,FC Bayern München,men,2026-27,dfb-pokal,early-rounds,face-value,,3,seat,50,EUR,unknown,2026-09-19,https://fcbayern.com/de/tickets/info/preise-und-ermaessigungen,"HAND-SUPPLIED BY ALEXANDRU AND STILL UNCONFIRMED. This is the one group left in the file whose only source is him, and the season says 2026-27 because that is the cycle he was describing, not because anything published was read for it. His claim is that the early rounds carry the same face values as the Bundesliga, and his football-rules.json adds that there is no member discount in the Pokal. WHAT THE 2026-09-19 ARCHIVE READ COULD AND COULD NOT DO: the club's price page, read on 2026-09-19 from an Internet Archive copy captured 2025-09-02, not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried, carries Bundesliga and Champions League day-ticket tables and NO DFB-Pokal table at all, so there was nothing to check these against. The archived Jahreskarten page does give a DFB-Pokal Viertelfinale season-ticket add-on of 80/70/50/40/15, which is the Bundesliga ladder - suggestive of the same pattern, a different product, and it settles nothing here. PRICEBASIS IS NOW unknown, WHICH IS A CORRECTION RATHER THAN A LOSS. These rows used to say excl-vat-fees, copied across from the Bundesliga rows, and that value has since been shown wrong for the rows that could be checked. Nothing records where these figures came from, so nothing says whether they include VAT or fees, and unknown is the only value that is true. Give them incl-vat-excl-fees when a Pokal price page is actually read, and not before."
Q15789,FC Bayern München,men,2026-27,dfb-pokal,early-rounds,face-value,,2,seat,70,EUR,unknown,2026-09-19,https://fcbayern.com/de/tickets/info/preise-und-ermaessigungen,"HAND-SUPPLIED BY ALEXANDRU AND STILL UNCONFIRMED. This is the one group left in the file whose only source is him, and the season says 2026-27 because that is the cycle he was describing, not because anything published was read for it. His claim is that the early rounds carry the same face values as the Bundesliga, and his football-rules.json adds that there is no member discount in the Pokal. WHAT THE 2026-09-19 ARCHIVE READ COULD AND COULD NOT DO: the club's price page, read on 2026-09-19 from an Internet Archive copy captured 2025-09-02, not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried, carries Bundesliga and Champions League day-ticket tables and NO DFB-Pokal table at all, so there was nothing to check these against. The archived Jahreskarten page does give a DFB-Pokal Viertelfinale season-ticket add-on of 80/70/50/40/15, which is the Bundesliga ladder - suggestive of the same pattern, a different product, and it settles nothing here. PRICEBASIS IS NOW unknown, WHICH IS A CORRECTION RATHER THAN A LOSS. These rows used to say excl-vat-fees, copied across from the Bundesliga rows, and that value has since been shown wrong for the rows that could be checked. Nothing records where these figures came from, so nothing says whether they include VAT or fees, and unknown is the only value that is true. Give them incl-vat-excl-fees when a Pokal price page is actually read, and not before."
Q15789,FC Bayern München,men,2026-27,dfb-pokal,early-rounds,face-value,,1,seat,80,EUR,unknown,2026-09-19,https://fcbayern.com/de/tickets/info/preise-und-ermaessigungen,"HAND-SUPPLIED BY ALEXANDRU AND STILL UNCONFIRMED. This is the one group left in the file whose only source is him, and the season says 2026-27 because that is the cycle he was describing, not because anything published was read for it. His claim is that the early rounds carry the same face values as the Bundesliga, and his football-rules.json adds that there is no member discount in the Pokal. WHAT THE 2026-09-19 ARCHIVE READ COULD AND COULD NOT DO: the club's price page, read on 2026-09-19 from an Internet Archive copy captured 2025-09-02, not from fcbayern.com, which answers HTTP 403 from AkamaiGHost to this infrastructure and was not retried, carries Bundesliga and Champions League day-ticket tables and NO DFB-Pokal table at all, so there was nothing to check these against. The archived Jahreskarten page does give a DFB-Pokal Viertelfinale season-ticket add-on of 80/70/50/40/15, which is the Bundesliga ladder - suggestive of the same pattern, a different product, and it settles nothing here. PRICEBASIS IS NOW unknown, WHICH IS A CORRECTION RATHER THAN A LOSS. These rows used to say excl-vat-fees, copied across from the Bundesliga rows, and that value has since been shown wrong for the rows that could be checked. Nothing records where these figures came from, so nothing says whether they include VAT or fees, and unknown is the only value that is true. Give them incl-vat-excl-fees when a Pokal price page is actually read, and not before."
